/ID	Name	Year Published	Min Players	Max Players	Play Time	Min Age	Users Rated	Rating Average	BGG Rank	Complexity Average	Owned Users	Mechanics	Domains
6203	Enemy at the Gates	1994	1	4	6000	12	257	7.64	3878	4.39	790	Dice Rolling. Hexagon Grid. Simulation. Zone of Control	Wargames
180241	Warhammer Age of Sigmar	2015	2	2	180	12	590	6.63	3879	2.57	1062	Dice Rolling. Line of Sight. Measurement Movement. Modular Board. Stat Check Resolution. Variable Player Powers	Wargames
62853	JAB: Realtime Boxing	2011	2	2	15	10	1022	6.21	3880	1.75	1797	Memory. Pattern Building. Pattern Recognition	Thematic Games
8993	Fire in the East	1984	2	4	3000	12	297	7.50	3881	4.41	763	Dice Rolling. Hexagon Grid. Simulation. Zone of Control	Wargames
21373	Federation Commander: Romulan Border	2006	2	8	60	10	248	7.71	3882	3.51	625	Action Points. Dice Rolling. Hexagon Grid. Simultaneous Action Selection	Thematic Games. Wargames
179350	Bretagne	2015	2	4	120	14	464	6.73	3883	3.43	757	Area Majority / Influence. Hand Management. Worker Placement	Strategy Games
180761	Dreamwell	2016	2	4	45	13	596	6.57	3884	2.17	1504	Grid Movement. Modular Board. Pattern Building. Set Collection	
114903	Castellan	2013	2	2	45	10	926	6.28	3885	1.45	2300	Enclosure. Hand Management	Abstract Games. Family Games
3125	7th Sea Collectible Card Game	1998	2	6	45	12	532	6.67	3886	2.47	821	Area Movement. Hand Management	Customizable Games
7742	Confrontation	2000	2	2	120	10	372	7.08	3887	3.39	569	Dice Rolling. Variable Player Powers	
173504	The Greatest Day: Sword. Juno. and Gold Beaches	2015	2	8	6000	12	175	8.70	3888	4.09	752	Chit-Pull System. Hexagon Grid	Wargames
86156	Reverse Charades	2010	6	99	30	6	480	6.69	3889	1.06	1220	Acting	Party Games
250754	Trade on the Tigris	2018	3	6	90	14	309	7.16	3890	2.80	561	Card Drafting. Set Collection. Trading	
207687	Endangered Orphans of Condyle Cove	2017	1	4	30	14	846	6.38	3891	1.64	2255	Modular Board. Player Elimination. Push Your Luck. Take That	
4205	On to Richmond!	1998	2	2	180	12	200	8.02	3892	3.34	650	Hexagon Grid. Variable Phase Order	Wargames
104377	TSCHAK!	2011	2	4	40	13	745	6.34	3893	1.56	1022	Auction/Bidding. Hand Management. Memory. Simultaneous Action Selection	Family Games
231962	Krazy Wordz	2016	3	7	45	10	294	7.24	3894	1.33	617	Simultaneous Action Selection	Party Games
269257	Chartae	2019	2	2	10	7	481	6.71	3895	1.55	801	Modular Board. Pattern Building. Tile Placement	Strategy Games
146559	Infamy	2013	3	4	60	13	431	6.83	3896	2.85	901	Auction/Bidding. Secret Unit Deployment. Simultaneous Action Selection. Take That. Worker Placement	Strategy Games
298069	Cubitos	2021	2	4	60	10	202	8.06	3897	2.14	668	Deck Bag and Pool Building. Dice Rolling. Push Your Luck. Race	
257674	Vampire: The Masquerade - Heritage	2020	2	4	90	14	269	7.92	3898	2.78	1001	Legacy Game. Once-Per-Game Abilities	Thematic Games
255249	Monikers: More Monikers	2018	4	20	60	18	166	8.23	3899	0	727	Acting. Card Drafting. Role Playing	
8920	BuyWord	2004	1	4	45	8	753	6.34	3900	1.81	1058	Auction/Bidding. Dice Rolling. Set Collection	Family Games
66193	It Happens..	2010	2	5	30	8	1032	6.19	3901	1.42	1457	Dice Rolling. Set Collection	Family Games
7843	Caesar: Conquest of Gaul	1998	2	4	240	12	291	7.31	3902	3.59	1252	Dice Rolling. Grid Movement. Hexagon Grid. Line of Sight. Simulation	Wargames
65825	Gettysburg	2010	2	2	180	13	300	7.20	3903	2.84	850	Action Points. Dice Rolling	Wargames
181161	Brick Party	2015	2	9	30	5	513	6.64	3904	1.43	1156	Cooperative Game. Hand Management	Party Games
207208	Armageddon	2016	3	4	90	12	537	6.60	3905	2.96	1320	Auction/Bidding. Worker Placement	Strategy Games
247935	Tramways Engineer's Workbook	2018	1	2	30	12	258	7.41	3906	3.09	936	Crayon Rail System. Modular Board. Network and Route Building. Pick-up and Deliver. Tile Placement	
62972	The Barbarossa Campaign	2010	1	1	40	14	217	7.88	3907	3.13	552	Campaign / Battle Card Driven. Chit-Pull System. Dice Rolling. Hexagon Grid	Wargames
315060	Unmatched: Buffy the Vampire Slayer	2020	2	4	40	14	200	8.22	3908	1.83	892	Area Movement. Hand Management. Variable Player Powers	
36887	Waterloo	2009	2	2	180	13	393	6.91	3909	3.25	935	Action Points. Area Movement. Dice Rolling. Simulation	Wargames
2079	NATO: The Next War in Europe	1983	2	2	240	12	555	6.66	3910	3.24	1568	Dice Rolling. Grid Movement. Hexagon Grid. Movement Points. Ratio / Combat Results Table. Scenario / Mission / Campaign Game. Simulation. Variable Set-up. Zone of Control	Wargames
3855	Crimson Skies	1998	2	2	180	12	376	7.11	3911	2.93	823	Simultaneous Action Selection	Wargames
216974	King's Road	2017	2	5	30	10	527	6.62	3912	1.77	994	Area Majority / Influence. King of the Hill. Once-Per-Game Abilities. Simultaneous Action Selection	Abstract Games
213882	Mole Rats in Space	2017	2	4	20	7	354	7.04	3913	1.29	787	Cooperative Game. Point to Point Movement	Family Games
217894	Delve	2017	2	4	60	14	605	6.57	3914	2.06	1659	Dice Rolling. Die Icon Resolution. Storytelling. Tile Placement. Variable Player Powers	Thematic Games
